COMMENT,Note: An 'x' indicates that a particular quality criteria is given. A 'v' indicates that the paper does not qualify for the criteria.,,,,,,,,,,,,,,
Title,Authors,Year,Clear research topic,Clear end product,Placed in context,Quantifiable experiments,Qualitative testing,Experimental outcome indicated,Theoretical justification,SOTA comparison,Outperforms SOTA,Definitively novel,Published in respectable channel,Definitively using machine learning,Applied to real world problem
ITR: COLLABORATIVE RESEARCH- (ECS+ASE)- (dmc/int) Live Wires: Always On Adaptive and Editable Simulations With Live Feed,"(pi, Maria Hybinette and (co-pi, Eileen T. Kraemer and Co-pi, Tucker Balch (collaborative",,v,v,v,v,v,v,v,v,v,x,v,x,x
Context-Aware Adaptive Data Stream Mining,"A, Pari Delir Haghighi and A, Arkady Zaslavsky and A, Shonali Krishnaswamy and Medhat, Mohamed and B, Gaber and C, Seng Loke",,x,x,v,v,x,v,v,v,v,x,v,x,x
Online Adaptation in Learning Classifier Systems: Stream Data Mining,"Abbass, Hussein A. and Bacardit, Jaume and Butz, Martin V. and Llor\`{a}, Xavier",2004,x,v,v,x,v,v,x,v,v,x,v,x,v
Streaming Random Forests,"Abdulsalam, Hanady and Skillicorn, David B. and Martin, Patrick",2007,x,x,x,x,v,x,v,x,v,v,v,x,v
A novel incremental approach for stream data mining,"Aboalsamh, H.A.",2009,x,x,x,x,v,x,v,v,v,x,v,x,v
Kernel-based online machine learning and support vector reduction,Sumeet Agarwal and V. Vijaya Saradhi and Harish Karnick,2008,v,v,v,v,v,v,v,v,v,v,v,x,v
A segment-based framework for modeling and mining data streams,"Aggarwal, C.C.",2012,x,x,v,x,v,v,v,v,v,v,v,x,v
A SURVEY OF CHANGE DIAGNOSIS ALGORITHMS IN EVOLVING DATA STREAMS,"Aggarwal, Cham C.",,v,v,v,v,v,v,v,v,v,x,v,x,v
Under consideration for publication in Knowledge and Information Systems On Clustering Massive Text and Categorical Data Streams,"Aggarwal, Charu C. and Yu, Philip S.",,x,x,x,x,v,x,v,v,v,x,v,x,v
LOCUST: An Online Analytical Processing Framework for High Dimensional Classification of Data Streams,"Aggarwal, Charu C. and Yu, Philip S.",2008,x,x,x,v,v,v,v,v,v,x,x,x,v
An approachable analytical study on big educational data mining,"Aghabozorgi, S.a and Mahroeian, H.b and Dutt, A.a and Wah, T.Y.a and Herawan, T.a c",2014,v,v,v,v,v,v,v,v,v,v,v,x,x
The reality of real-time business intelligence,"Agrawal, D.",2009,x,x,x,v,v,v,v,v,v,x,v,v,v
Supporting self-adaptation in streaming data mining applications,"Agrawal, G.",2006,x,v,v,x,v,x,v,v,v,v,v,v,v
Semi-supervised ensemble learning of data streams in the presence of concept drift,"Ahmadi, Z. and Beigy, H.",2012,x,x,x,x,v,x,v,x,v,x,v,x,v
A framework for mining interesting high utility patterns with a strong frequency affinity,"Ahmed, C.F.a and Tanbeer, S.K.a and Jeong, B.-S.a and Choi, H.-J.b",2011,x,x,x,x,v,x,v,v,v,x,v,x,v
Efficient single-pass mining of weighted interesting patterns,"Ahmed, C.F. and Tanbeer, S.K. and Jeong, B.-S. and Lee, Y.-K.",2008,x,x,x,x,v,x,v,v,v,x,v,x,v
Data management for M2M communication using telecom mediation systems,"Akhouri, S. and Girdhar, K.",2013,x,v,x,v,v,v,v,v,v,x,v,x,x
Random rules from data streams,"Almeida, E.a and Kosina, P.a b and Gama, J.a c",2013,x,x,x,v,v,v,x,x,v,v,v,x,v
Increasing availability of industrial systems through data stream mining,Ahmad Alzghoul and Magnus LÃƒÂ¶fstrand,2011,x,v,x,x,v,x,v,v,v,v,v,x,x
Big \& personal: Data and models behind Netflix recommendations,"Amatriain, X.",2013,v,x,v,v,v,v,v,v,v,x,v,x,x
Chapter 6 MULTI-DIMENSIONAL ANALYSIS OF DATA STREAMS USING STREAM CUBES,"An, Jiawei and Cai, Y Dora and Chen, Yixin",,x,x,v,v,v,v,v,v,v,v,v,x,v
Information-theoretic data discarding for dynamic trees on data streams,"Anagnostopoulos, C.a and Gramacy, R.B.b",2013,x,x,x,v,x,v,v,x,v,x,v,x,v
A fast Incremental Kernel Principal Component Analysis for data streams,"{Anak Joseph}, Annie and Ozawa, Seiichi",2014,x,x,x,x,v,x,v,x,x,x,v,x,v
Fuzzily Connected Multimodel Systems Evolving Autonomously From Data Streams.,"Angelov, Plamen",2011,x,x,v,v,v,v,v,v,v,x,v,x,v
Online mining closed frequent itemsets over a stream sliding window,"Ao, F.-J.a and Du, J.b and Yan, Y.-J.b and Huang, K.-D.a",2009,x,x,x,x,v,x,v,x,x,x,v,x,v
Online mining maximal frequent itemsets in sliding window over data streams,"Ao, F.-J.a and Yan, Y.-J.b and Liu, B.-H.a and Huang, K.-D.a",2009,x,x,x,x,v,x,v,v,v,x,v,x,v
Data stream analytics and mining in the cloud,"Ari, Ismail and Olmezogullari, Erdi and Celebi, Omer Faruk",2012,x,v,v,x,v,x,v,v,v,x,v,x,x
Online algorithms for mining semi-structured data stream,"Asai, T. and Arimura, H. and Abe, K. and Kawasoe, S. and Arikawa, S.",2002,x,x,v,x,v,v,x,v,v,v,v,x,v
An instance-window based classification algorithm for handling gradual concept drifts,"Attar, V.a and Chaudhary, P.a and Rahagude, S.a and Chaudhari, G.a and Sinha, P.b",2012,x,v,x,v,v,v,v,v,v,v,v,x,v
Mobile Data Mining for Intelligent Healthcare Support,unknown Authors,,x,v,v,v,x,v,v,v,v,x,v,x,x
"B.Suresh Babu,",unknown Authors,,x,v,v,v,v,v,v,v,v,x,v,x,v
"Mining Frequent Patterns from Data streams using Dynamic DP-tree Shaik.Hafija, M.Tech(CS), JNTU Kakinada. J.V.R. Murthy,",unknown Authors,,x,x,v,v,v,v,v,v,v,x,v,x,v
Mining Frequent Itemsets in Time-Varying Data Streams,Yingying Tao and M. Tamer Özsu,,x,x,x,x,v,x,v,x,x,x,v,x,v
Data stream mining to address big data problems,"Ölmezoǧullari, E.a and Ari, I.a and Çelebi, Ö.F. and Ergüt, S.",2013,x,x,x,v,x,v,v,v,v,x,v,x,x
Beyond Online Aggregation: Parallel and Incremental Data Mining with Online Map-Reduce (DRAFT),"B\""{o}se, Joos-hendrik and Sci, Intl Comp and Andrzejak, Artur and H\""{o}gqvist, Mikael",,x,x,x,x,v,x,v,v,v,x,v,x,v
Efficient learning from explanation of prediction errors in streaming data,"Banerjee, B. and Dutta, J.K.",2013,x,x,v,x,x,v,x,v,v,v,v,x,x
Load Shedding in Network Monitoring Applications,"Barlet-Ros, Pere and Iannaccone, Gianluca and Sanju\`{a}s-Cuxart, Josep and Amores-L\'{o}pez, Diego and Sol\'{e}-Pareta, Josep",2007,x,x,v,x,x,x,v,v,v,v,v,x,x
An interactive search assistant architecture based on intrinsic query stream characteristics,"Barouni-Ebrahimi, M.a b and Ghorbani, A.A.a",2008,x,x,x,x,v,x,v,v,v,x,v,x,x
Real-time Ranking with Concept Drift Using Expert Advice,"Becker, Hila",2007,x,x,x,x,v,x,v,x,x,v,x,x,v
Fuzzy Clustering of Parallel Data Streams,"Beringer, J\""{u}rgen and H\""{u}llermeier, Eyke",,x,x,v,v,v,v,v,v,v,x,v,x,v
Online clustering of parallel data streams,"Beringer, J\""{u}rgen and H\""{u}llermeier, Eyke",2005,x,x,v,v,v,v,v,v,v,x,v,x,v
An efficient algorithm for instance-based learning on data streams,"Beringer, J.a and HÃƒÂ¼llermeier, E.b",2007,x,x,v,x,x,v,v,x,x,x,v,x,v
Characterizing latency in periodic P2P hypercube gossiping,"Berndt, P. and Hovestadt, M. and Kao, O.",2012,x,v,x,v,x,v,x,v,v,v,v,v,v
Real-Time Analytics for Legacy Data Streams in Health: Monitoring Health Data Quality,"Berry, Andrew and Milosevic, Zoran",2013,x,x,v,v,x,v,v,x,x,v,v,x,x
An efficient intrusion detection system based on pattern matching and state transition analysis,"Bhargavi, R. and Vaidehi, V. and Sri Ganesh, K.",2012,x,x,x,x,v,x,v,v,v,x,v,x,x
User subjectivity in change modeling of streaming itemsets,"Bhatnagar, V. and Kochhar, S.K.",2005,x,v,v,v,v,v,v,v,v,x,v,x,v
Real-time analysis and management of big time-series data,"Biem, A. and Feng, H. and Riabov, A. V. and Turaga, D. S.",2013,x,x,v,v,v,v,v,v,v,v,v,v,x
Mining Adaptively Frequent Closed Unlabeled Rooted Trees in Data Streams,"Bifet, Albert and Gavald\`{a}, Ricard and {De Llenguatges I Sistemes}, Departament",,x,x,v,x,v,v,x,x,x,x,v,x,v
MOA-TweetReader: Real-time analysis in twitter streaming data,"Bifet, A. and Holmes, G. and Pfahringer, B.",2011,x,x,v,v,x,v,v,v,v,v,v,x,x
Mining frequent closed graphs on evolving data streams,"Bifet, A.a and Holmes, G.a and Pfahringer, B.a and GavaldÃƒÂ , R.b",2011,x,x,v,v,x,v,v,x,x,v,x,x,v
New ensemble methods for evolving data streams,"Bifet, Albert and Holmes, Geoff and Pfahringer, Bernhard and Kirkby, Richard and Gavald\`{a}, Ricard",2009,x,x,x,x,v,x,v,x,v,x,x,x,v
Adaptive Product Normalization: Using Online Learning for Record Linkage in Comparison Shopping,"Bilenko, M. and Basu, S. and Sahami, M.",2005,x,x,v,x,v,x,v,v,v,x,v,x,x
Clustering on Demand for Multiple Data Streams,{Bi-Ru Dai} and {Jen-Wei Huang} and {Mi-Yen Yeh} and {Ming-Syan Chen},2004,x,x,v,v,v,v,v,v,v,x,v,x,v
A multidimensional temporal abstractive data mining framework,"Bjering, Heidi and McGregor, Carolyn",2010,x,x,v,v,v,v,v,v,v,v,v,x,x
On the integration of an artifact system and a real-time healthcare analytics system,"Blount, M.a and McGregor, C.b and James, A.c and Sow, D.a and Kamaleswaran, R.b and Tuuha, S.b and Percival, J.b and Percival, N.b",2010,x,v,v,v,v,v,v,v,v,v,v,x,x
GT2FC: An Online Growing Interval Type-2 Self-Learning Fuzzy Classifier,"Bouchachia, Abdelhamid and Vanaret, Charlie",2014,x,x,v,x,v,x,v,v,v,x,v,x,v
Online time data series pre-processing for the improved performance of anomaly detection methods,"Branisavljević, N. and Kapelan, Z. and Prodanović, D.",2010,x,v,x,v,v,x,v,v,v,v,v,x,x
Using machine learning for discovery in synoptic survey imaging data,"Brink, H.a and Richards, J.W.a b and Poznanski, D.c and Bloom, J.S.a and Rice, J.c and Negahban, S.d and Wainwright, M.b d",2013,x,x,v,x,v,x,v,v,v,v,v,x,x
Reacting to Different Types of Concept Drift: The Accuracy Updated Ensemble Algorithm,"Brzezinski, Dariusz and Stefanowski, Jerzy",,x,x,x,x,v,x,v,x,x,x,x,x,v
Effective Anomaly Detection in Sensor Networks Data Streams,"Budhaditya, Saha and Pham, Duc-Son and Lazarescu, Mihai and Venkatesh, Svetha",2009,x,x,v,x,v,x,v,v,v,x,v,x,v
Data stream synchronization for defining meaningful fMRI classification problems,Marcin Budka,2014,x,x,x,x,v,x,v,x,x,x,v,x,x
A Unified Framework for Monitoring Data Streams in Real Time,"Bulut, A. and Singh, A.K.",2005,x,x,v,x,v,x,v,x,x,x,x,x,v
Unsupervised Learning for Analyzing the Dynamic Behavior of Online Banking Fraud,"Cabanes, Guenael and Bennani, Younes and Grozavu, Nistor",2013,x,x,v,x,v,v,v,v,v,x,v,x,x
MAIDS: Mining Alarming Incidents from Data Streams,"Cai, Y. Dora and Clutter, David and Pape, Greg and Han, Jiawei and Welge, Michael and Auvil, Loretta",,v,x,v,x,v,x,v,v,v,v,v,x,v
"Author manuscript, published in ""Real-World Challenges for Data Stream Mining Workshop-Discussion Czech Republic (2013)"" Analysis of Videos using Tile Mining","Calders, Toon and Fromont, Elisa and Jeudy, Baptiste and Lam, Hoang Thanh and {De Lyon}, Universit\'{e} and Jean, Universit\'{e} and Saint-etienne, Monnet",2013,x,v,v,v,v,v,v,v,v,v,v,x,x
Frequent Pairs in Data Streams: Exploiting Parallelism and Skew,"Campagna, Andrea and Kutzkov, Konstantin and Pagh, Rasmus",,x,x,x,x,v,x,v,v,v,v,v,x,v
A network of cooperative learners for data-driven stream Mining,"Canzian, Luca and van der Schaar, Mihaela",2014,x,x,x,x,v,x,x,x,x,x,v,x,v
